,origin,destination,path,service_ids,first_service_mode,last_service_mode,first_service,first_service_departure,service_capacities,service_capacity,total_transport_cost,transshipment_cost,transshipment_time,storage_time,storage_cost,total_cost,last_service_arrival,Transshipment Terminal(s),Loading_cost_at_origin,Unloading_cost_at_destination
23,Delta,Venlo,Delta to HOME -> HOME to Venlo,"Barge02, Train24",Barge,Train,Barge02,53,"160, 90",90,39.004000000000005,21.0,1,27.5,27.5,87.504,,HOME,3.0,18.0
24,Delta,Venlo,Delta to Moerdijk -> Moerdijk to Venlo,"Barge03, Barge47",Barge,Barge,Barge03,3,"160, 160",160,13.9755,6.0,1,84.0,84.0,103.9755,,Moerdijk,3.0,3.0
25,Delta,Venlo,Delta to Moerdijk -> Moerdijk to Venlo,"Barge03, Train27",Barge,Train,Barge03,3,"160, 90",90,36.094,21.0,1,64.0,64.0,121.094,,Moerdijk,3.0,18.0
26,Delta,Venlo,Delta to Moerdijk -> Moerdijk to Venlo,"Barge04, Barge47",Barge,Barge,Barge04,15,"160, 160",160,13.9755,6.0,1,72.0,72.0,91.9755,,Moerdijk,3.0,3.0
27,Delta,Venlo,Delta to Moerdijk -> Moerdijk to Venlo,"Barge04, Train27",Barge,Train,Barge04,15,"160, 90",90,36.094,21.0,1,52.0,52.0,109.094,,Moerdijk,3.0,18.0
28,Delta,Venlo,Delta to Moerdijk -> Moerdijk to Venlo,"Barge05, Barge47",Barge,Barge,Barge05,27,"160, 160",160,13.9755,6.0,1,60.0,60.0,79.9755,,Moerdijk,3.0,3.0
29,Delta,Venlo,Delta to Moerdijk -> Moerdijk to Venlo,"Barge05, Train27",Barge,Train,Barge05,27,"160, 90",90,36.094,21.0,1,40.0,40.0,97.094,,Moerdijk,3.0,18.0
30,Delta,Venlo,Delta to Moerdijk -> Moerdijk to Venlo,"Barge06, Barge47",Barge,Barge,Barge06,39,"160, 160",160,13.9755,6.0,1,48.0,48.0,67.9755,,Moerdijk,3.0,3.0
31,Delta,Venlo,Delta to Moerdijk -> Moerdijk to Venlo,"Barge06, Train27",Barge,Train,Barge06,39,"160, 90",90,36.094,21.0,1,28.0,28.0,85.094,,Moerdijk,3.0,18.0
32,Delta,Venlo,Delta to Moerdijk -> Moerdijk to Venlo,"Barge07, Barge47",Barge,Barge,Barge07,51,"160, 160",160,13.9755,6.0,1,36.0,36.0,55.9755,,Moerdijk,3.0,3.0
33,Delta,Venlo,Delta to Moerdijk -> Moerdijk to Venlo,"Barge07, Train27",Barge,Train,Barge07,51,"160, 90",90,36.094,21.0,1,16.0,16.0,73.094,,Moerdijk,3.0,18.0
34,Delta,Venlo,Delta to Moerdijk -> Moerdijk to Venlo,"Barge08, Barge47",Barge,Barge,Barge08,63,"160, 160",160,13.9755,6.0,1,24.0,24.0,43.9755,,Moerdijk,3.0,3.0
35,Delta,Venlo,Delta to Moerdijk -> Moerdijk to Venlo,"Barge08, Train27",Barge,Train,Barge08,63,"160, 90",90,36.094,21.0,1,4.0,4.0,61.094,,Moerdijk,3.0,18.0
36,Delta,Venlo,Delta to Moerdijk -> Moerdijk to Venlo,"Barge09, Barge47",Barge,Barge,Barge09,75,"160, 160",160,13.9755,6.0,1,12.0,12.0,31.9755,,Moerdijk,3.0,3.0
37,Delta,Venlo,Delta to Venlo,Barge17,Barge,Barge,Barge17,12,160,160,12.1121,0.0,0,0.0,0.0,12.1121,,0,3.0,3.0
38,Delta,Venlo,Delta to Venlo,Barge18,Barge,Barge,Barge18,18,160,160,12.1121,0.0,0,0.0,0.0,12.1121,,0,3.0,3.0
39,Delta,Venlo,Delta to Venlo,Barge19,Barge,Barge,Barge19,36,160,160,12.1121,0.0,0,0.0,0.0,12.1121,,0,3.0,3.0
40,Delta,Venlo,Delta to Venlo,Barge20,Barge,Barge,Barge20,42,160,160,12.1121,0.0,0,0.0,0.0,12.1121,,0,3.0,3.0
41,Delta,Venlo,Delta to Venlo,Barge21,Barge,Barge,Barge21,60,160,160,12.1121,0.0,0,0.0,0.0,12.1121,,0,3.0,3.0
42,Delta,Venlo,Delta to Venlo,Barge22,Barge,Barge,Barge22,66,160,160,12.1121,0.0,0,0.0,0.0,12.1121,,0,3.0,3.0
43,Delta,Venlo,Delta to Venlo,Barge23,Barge,Barge,Barge23,90,160,160,12.1121,0.0,0,0.0,0.0,12.1121,,0,3.0,3.0
44,Delta,Venlo,Delta to Venlo,Barge24,Barge,Barge,Barge24,96,160,160,12.1121,0.0,0,0.0,0.0,12.1121,,0,3.0,3.0
45,Delta,Venlo,Delta to Venlo,Barge25,Barge,Barge,Barge25,120,160,160,12.1121,0.0,0,0.0,0.0,12.1121,,0,3.0,3.0
46,Delta,Venlo,Delta to Venlo,Train01,Train,Train,Train01,16,90,90,41.914,0.0,0,0.0,0.0,41.914,,0,18.0,18.0
47,Delta,Venlo,Delta to Venlo,Train02,Train,Train,Train02,40,90,90,41.914,0.0,0,0.0,0.0,41.914,,0,18.0,18.0
48,Delta,Venlo,Delta to Venlo,Train03,Train,Train,Train03,9,90,90,41.914,0.0,0,0.0,0.0,41.914,,0,18.0,18.0
49,Delta,Venlo,Delta to Venlo,Train04,Train,Train,Train04,33,90,90,41.914,0.0,0,0.0,0.0,41.914,,0,18.0,18.0
50,Delta,Venlo,Delta to Venlo,Train05,Train,Train,Train05,57,90,90,41.914,0.0,0,0.0,0.0,41.914,,0,18.0,18.0
51,Delta,Venlo,Delta to Venlo,Train06,Train,Train,Train06,81,90,90,41.914,0.0,0,0.0,0.0,41.914,,0,18.0,18.0
52,Delta,Venlo,Delta to Venlo,Train07,Train,Train,Train07,105,90,90,41.914,0.0,0,0.0,0.0,41.914,,0,18.0,18.0
53,Delta,Venlo,Delta to Venlo,Train08,Train,Train,Train08,129,90,90,41.914,0.0,0,0.0,0.0,41.914,,0,18.0,18.0
54,Delta,Duisburg,Delta to Euromax -> Euromax to Duisburg,"Barge01, Barge37",Barge,Barge,Barge01,53,"160, 160",160,16.30475,6.0,1,46.0,46.0,68.30475,,Euromax,3.0,3.0
55,Delta,Duisburg,Delta to Euromax -> Euromax to Duisburg,"Barge01, Train19",Barge,Train,Barge01,53,"160, 90",90,69.04195,21.0,1,18.0,18.0,108.04195,,Euromax,3.0,18.0
56,Delta,Duisburg,Delta to Euromax -> Euromax to Duisburg,"Barge01, Train20",Barge,Train,Barge01,53,"160, 90",90,69.04195,21.0,1,42.0,42.0,132.04194999999999,,Euromax,3.0,18.0
57,Delta,Duisburg,Delta to HOME -> HOME to Duisburg,"Barge02, Train26",Barge,Train,Barge02,53,"160, 90",90,59.961,21.0,1,16.5,16.5,97.461,,HOME,3.0,18.0
58,Delta,Duisburg,Delta to Moerdijk -> Moerdijk to Duisburg,"Barge03, Barge48",Barge,Barge,Barge03,3,"160, 160",160,15.8389,6.0,1,60.0,60.0,81.8389,,Moerdijk,3.0,3.0
59,Delta,Duisburg,Delta to Moerdijk -> Moerdijk to Duisburg,"Barge03, Train28",Barge,Train,Barge03,3,"160, 90",90,46.572500000000005,21.0,1,66.0,66.0,133.5725,,Moerdijk,3.0,18.0
60,Delta,Duisburg,Delta to Moerdijk -> Moerdijk to Duisburg,"Barge04, Barge48",Barge,Barge,Barge04,15,"160, 160",160,15.8389,6.0,1,48.0,48.0,69.8389,,Moerdijk,3.0,3.0
61,Delta,Duisburg,Delta to Moerdijk -> Moerdijk to Duisburg,"Barge04, Train28",Barge,Train,Barge04,15,"160, 90",90,46.572500000000005,21.0,1,54.0,54.0,121.5725,,Moerdijk,3.0,18.0
62,Delta,Duisburg,Delta to Moerdijk -> Moerdijk to Duisburg,"Barge05, Barge48",Barge,Barge,Barge05,27,"160, 160",160,15.8389,6.0,1,36.0,36.0,57.8389,,Moerdijk,3.0,3.0
63,Delta,Duisburg,Delta to Moerdijk -> Moerdijk to Duisburg,"Barge05, Train28",Barge,Train,Barge05,27,"160, 90",90,46.572500000000005,21.0,1,42.0,42.0,109.5725,,Moerdijk,3.0,18.0
64,Delta,Duisburg,Delta to Moerdijk -> Moerdijk to Duisburg,"Barge06, Barge48",Barge,Barge,Barge06,39,"160, 160",160,15.8389,6.0,1,24.0,24.0,45.8389,,Moerdijk,3.0,3.0
65,Delta,Duisburg,Delta to Moerdijk -> Moerdijk to Duisburg,"Barge06, Train28",Barge,Train,Barge06,39,"160, 90",90,46.572500000000005,21.0,1,30.0,30.0,97.5725,,Moerdijk,3.0,18.0
66,Delta,Duisburg,Delta to Moerdijk -> Moerdijk to Duisburg,"Barge07, Barge48",Barge,Barge,Barge07,51,"160, 160",160,15.8389,6.0,1,12.0,12.0,33.8389,,Moerdijk,3.0,3.0
67,Delta,Duisburg,Delta to Moerdijk -> Moerdijk to Duisburg,"Barge07, Train28",Barge,Train,Barge07,51,"160, 90",90,46.572500000000005,21.0,1,18.0,18.0,85.5725,,Moerdijk,3.0,18.0
68,Delta,Duisburg,Delta to Moerdijk -> Moerdijk to Duisburg,"Barge08, Train28",Barge,Train,Barge08,63,"160, 90",90,46.572500000000005,21.0,1,6.0,6.0,73.5725,,Moerdijk,3.0,18.0
69,Delta,Duisburg,Delta to Duisburg,Barge26,Barge,Barge,Barge26,82,160,160,14.9072,0.0,0,0.0,0.0,14.9072,,0,3.0,3.0
70,Delta,Duisburg,Delta to Duisburg,Barge27,Barge,Barge,Barge27,102,160,160,14.9072,0.0,0,0.0,0.0,14.9072,,0,3.0,3.0
71,Delta,Duisburg,Delta to Duisburg,Train09,Train,Train,Train09,41,90,90,62.871,0.0,0,0.0,0.0,62.871,,0,18.0,18.0
72,Delta,Duisburg,Delta to Duisburg,Train10,Train,Train,Train10,75,90,90,62.871,0.0,0,0.0,0.0,62.871,,0,18.0,18.0
73,Delta,Duisburg,Delta to Duisburg,Train11,Train,Train,Train11,99,90,90,62.871,0.0,0,0.0,0.0,62.871,,0,18.0,18.0
74,Delta,Duisburg,Delta to Duisburg,Train12,Train,Train,Train12,113,90,90,62.871,0.0,0,0.0,0.0,62.871,,0,18.0,18.0
75,Delta,Willebroek,Delta to Euromax -> Euromax to Willebroek,"Barge01, Barge38",Barge,Barge,Barge01,53,"160, 160",160,11.646249999999998,6.0,1,55.0,55.0,72.64625,,Euromax,3.0,3.0
76,Delta,Willebroek,Delta to Willebroek,Barge28,Barge,Barge,Barge28,68,160,160,10.2487,0.0,0,0.0,0.0,10.2487,,0,3.0,3.0
77,Delta,Willebroek,Delta to Willebroek,Barge29,Barge,Barge,Barge29,98,160,160,10.2487,0.0,0,0.0,0.0,10.2487,,0,3.0,3.0
78,Delta,Willebroek,Delta to Willebroek,Barge30,Barge,Barge,Barge30,146,160,160,10.2487,0.0,0,0.0,0.0,10.2487,,0,3.0,3.0
79,Delta,Neuss,Delta to Euromax -> Euromax to Venlo -> Venlo to Neuss,"Barge01, Barge36, Train29",Barge,Train,Barge01,53,"160, 160, 90",90,29.2274,27.0,2,38.5,38.5,94.7274,,"Euromax,Venlo",3.0,18.0
80,Delta,Neuss,Delta to Euromax -> Euromax to Neuss,"Barge01, Barge39",Barge,Barge,Barge01,53,"160, 160",160,17.236449999999998,6.0,1,9.0,9.0,32.23645,,Euromax,3.0,3.0
81,Delta,Neuss,Delta to Euromax -> Euromax to Venlo -> Venlo to Neuss,"Barge01, Train17, Train29",Barge,Train,Barge01,53,"160, 90, 90",90,63.8027,57.0,2,47.5,47.5,168.30270000000002,,"Euromax,Venlo",3.0,18.0
82,Delta,Neuss,Delta to Euromax -> Euromax to Venlo -> Venlo to Neuss,"Barge01, Train18, Train29",Barge,Train,Barge01,53,"160, 90, 90",90,63.8027,57.0,2,47.5,47.5,168.30270000000002,,"Euromax,Venlo",3.0,18.0
83,Delta,Neuss,Delta to Euromax -> Euromax to Duisburg -> Duisburg to Neuss,"Barge01, Train19, Barge49",Barge,Barge,Barge01,53,"160, 90, 160",90,71.3712,42.0,2,53.5,53.5,166.8712,,"Euromax,Duisburg",3.0,3.0
84,Delta,Neuss,Delta to Euromax -> Euromax to Duisburg -> Duisburg to Neuss,"Barge01, Train20, Barge49",Barge,Barge,Barge01,53,"160, 90, 160",90,71.3712,42.0,2,53.5,53.5,166.8712,,"Euromax,Duisburg",3.0,3.0
85,Delta,Neuss,Delta to Euromax -> Euromax to Neuss,"Barge01, Train21",Barge,Train,Barge01,53,"160, 90",90,58.563449999999996,21.0,1,20.0,20.0,99.56344999999999,,Euromax,3.0,18.0
86,Delta,Neuss,Delta to HOME -> HOME to Venlo -> Venlo to Neuss,"Barge02, Train24, Train29",Barge,Train,Barge02,53,"160, 90, 90",90,54.72175000000001,57.0,2,47.0,47.0,158.72175000000001,,"HOME,Venlo",3.0,18.0
87,Delta,Neuss,Delta to HOME -> HOME to Duisburg -> Duisburg to Neuss,"Barge02, Train26, Barge49",Barge,Barge,Barge02,53,"160, 90, 160",90,62.29025,42.0,2,53.0,53.0,157.29025000000001,,"HOME,Duisburg",3.0,3.0
88,Delta,Neuss,Delta to Moerdijk -> Moerdijk to Venlo -> Venlo to Neuss,"Barge03, Barge47, Train29",Barge,Train,Barge03,3,"160, 160, 90",90,29.69325,27.0,2,88.0,88.0,144.69325,,"Moerdijk,Venlo",3.0,18.0
89,Delta,Neuss,Delta to Moerdijk -> Moerdijk to Duisburg -> Duisburg to Neuss,"Barge03, Barge48, Barge49",Barge,Barge,Barge03,3,"160, 160, 160",160,18.16815,12.0,2,94.0,94.0,124.16815,,"Moerdijk,Duisburg",3.0,3.0
90,Delta,Neuss,Delta to Moerdijk -> Moerdijk to Venlo -> Venlo to Neuss,"Barge03, Train27, Train29",Barge,Train,Barge03,3,"160, 90, 90",90,51.81175,57.0,2,95.0,95.0,203.81175000000002,,"Moerdijk,Venlo",3.0,18.0
91,Delta,Neuss,Delta to Moerdijk -> Moerdijk to Duisburg -> Duisburg to Neuss,"Barge03, Train28, Barge49",Barge,Barge,Barge03,3,"160, 90, 160",90,48.90175000000001,42.0,2,102.0,102.0,192.90175,,"Moerdijk,Duisburg",3.0,3.0
92,Delta,Neuss,Delta to Moerdijk -> Moerdijk to Venlo -> Venlo to Neuss,"Barge04, Barge47, Train29",Barge,Train,Barge04,15,"160, 160, 90",90,29.69325,27.0,2,76.0,76.0,132.69325,,"Moerdijk,Venlo",3.0,18.0
93,Delta,Neuss,Delta to Moerdijk -> Moerdijk to Duisburg -> Duisburg to Neuss,"Barge04, Barge48, Barge49",Barge,Barge,Barge04,15,"160, 160, 160",160,18.16815,12.0,2,82.0,82.0,112.16815,,"Moerdijk,Duisburg",3.0,3.0
94,Delta,Neuss,Delta to Moerdijk -> Moerdijk to Venlo -> Venlo to Neuss,"Barge04, Train27, Train29",Barge,Train,Barge04,15,"160, 90, 90",90,51.81175,57.0,2,83.0,83.0,191.81175000000002,,"Moerdijk,Venlo",3.0,18.0
95,Delta,Neuss,Delta to Moerdijk -> Moerdijk to Duisburg -> Duisburg to Neuss,"Barge04, Train28, Barge49",Barge,Barge,Barge04,15,"160, 90, 160",90,48.90175000000001,42.0,2,90.0,90.0,180.90175,,"Moerdijk,Duisburg",3.0,3.0
96,Delta,Neuss,Delta to Moerdijk -> Moerdijk to Venlo -> Venlo to Neuss,"Barge05, Barge47, Train29",Barge,Train,Barge05,27,"160, 160, 90",90,29.69325,27.0,2,64.0,64.0,120.69325,,"Moerdijk,Venlo",3.0,18.0
97,Delta,Neuss,Delta to Moerdijk -> Moerdijk to Duisburg -> Duisburg to Neuss,"Barge05, Barge48, Barge49",Barge,Barge,Barge05,27,"160, 160, 160",160,18.16815,12.0,2,70.0,70.0,100.16815,,"Moerdijk,Duisburg",3.0,3.0
98,Delta,Neuss,Delta to Moerdijk -> Moerdijk to Venlo -> Venlo to Neuss,"Barge05, Train27, Train29",Barge,Train,Barge05,27,"160, 90, 90",90,51.81175,57.0,2,71.0,71.0,179.81175000000002,,"Moerdijk,Venlo",3.0,18.0
99,Delta,Neuss,Delta to Moerdijk -> Moerdijk to Duisburg -> Duisburg to Neuss,"Barge05, Train28, Barge49",Barge,Barge,Barge05,27,"160, 90, 160",90,48.90175000000001,42.0,2,78.0,78.0,168.90175,,"Moerdijk,Duisburg",3.0,3.0
100,Delta,Neuss,Delta to Moerdijk -> Moerdijk to Venlo -> Venlo to Neuss,"Barge06, Barge47, Train29",Barge,Train,Barge06,39,"160, 160, 90",90,29.69325,27.0,2,52.0,52.0,108.69325,,"Moerdijk,Venlo",3.0,18.0
101,Delta,Neuss,Delta to Moerdijk -> Moerdijk to Duisburg -> Duisburg to Neuss,"Barge06, Barge48, Barge49",Barge,Barge,Barge06,39,"160, 160, 160",160,18.16815,12.0,2,58.0,58.0,88.16815,,"Moerdijk,Duisburg",3.0,3.0
102,Delta,Neuss,Delta to Moerdijk -> Moerdijk to Venlo -> Venlo to Neuss,"Barge06, Train27, Train29",Barge,Train,Barge06,39,"160, 90, 90",90,51.81175,57.0,2,59.0,59.0,167.81175000000002,,"Moerdijk,Venlo",3.0,18.0
103,Delta,Neuss,Delta to Moerdijk -> Moerdijk to Duisburg -> Duisburg to Neuss,"Barge06, Train28, Barge49",Barge,Barge,Barge06,39,"160, 90, 160",90,48.90175000000001,42.0,2,66.0,66.0,156.90175,,"Moerdijk,Duisburg",3.0,3.0
104,Delta,Neuss,Delta to Moerdijk -> Moerdijk to Venlo -> Venlo to Neuss,"Barge07, Barge47, Train29",Barge,Train,Barge07,51,"160, 160, 90",90,29.69325,27.0,2,40.0,40.0,96.69325,,"Moerdijk,Venlo",3.0,18.0
105,Delta,Neuss,Delta to Moerdijk -> Moerdijk to Duisburg -> Duisburg to Neuss,"Barge07, Barge48, Barge49",Barge,Barge,Barge07,51,"160, 160, 160",160,18.16815,12.0,2,46.0,46.0,76.16815,,"Moerdijk,Duisburg",3.0,3.0
106,Delta,Neuss,Delta to Moerdijk -> Moerdijk to Venlo -> Venlo to Neuss,"Barge07, Train27, Train29",Barge,Train,Barge07,51,"160, 90, 90",90,51.81175,57.0,2,47.0,47.0,155.81175000000002,,"Moerdijk,Venlo",3.0,18.0
107,Delta,Neuss,Delta to Moerdijk -> Moerdijk to Duisburg -> Duisburg to Neuss,"Barge07, Train28, Barge49",Barge,Barge,Barge07,51,"160, 90, 160",90,48.90175000000001,42.0,2,54.0,54.0,144.90175,,"Moerdijk,Duisburg",3.0,3.0
108,Delta,Neuss,Delta to Moerdijk -> Moerdijk to Venlo -> Venlo to Neuss,"Barge08, Barge47, Train29",Barge,Train,Barge08,63,"160, 160, 90",90,29.69325,27.0,2,28.0,28.0,84.69325,,"Moerdijk,Venlo",3.0,18.0
109,Delta,Neuss,Delta to Moerdijk -> Moerdijk to Venlo -> Venlo to Neuss,"Barge08, Train27, Train29",Barge,Train,Barge08,63,"160, 90, 90",90,51.81175,57.0,2,35.0,35.0,143.81175000000002,,"Moerdijk,Venlo",3.0,18.0
110,Delta,Neuss,Delta to Moerdijk -> Moerdijk to Duisburg -> Duisburg to Neuss,"Barge08, Train28, Barge49",Barge,Barge,Barge08,63,"160, 90, 160",90,48.90175000000001,42.0,2,42.0,42.0,132.90175,,"Moerdijk,Duisburg",3.0,3.0
111,Delta,Neuss,Delta to Moerdijk -> Moerdijk to Venlo -> Venlo to Neuss,"Barge09, Barge47, Train29",Barge,Train,Barge09,75,"160, 160, 90",90,29.69325,27.0,2,16.0,16.0,72.69325,,"Moerdijk,Venlo",3.0,18.0
112,Delta,Neuss,Delta to Venlo -> Venlo to Neuss,"Barge17, Train29",Barge,Train,Barge17,12,"160, 90",90,27.82985,21.0,1,84.0,84.0,132.82985,,Venlo,3.0,18.0
113,Delta,Neuss,Delta to Venlo -> Venlo to Neuss,"Barge18, Train29",Barge,Train,Barge18,18,"160, 90",90,27.82985,21.0,1,78.0,78.0,126.82985,,Venlo,3.0,18.0
114,Delta,Neuss,Delta to Venlo -> Venlo to Neuss,"Barge19, Train29",Barge,Train,Barge19,36,"160, 90",90,27.82985,21.0,1,60.0,60.0,108.82985,,Venlo,3.0,18.0
115,Delta,Neuss,Delta to Venlo -> Venlo to Neuss,"Barge20, Train29",Barge,Train,Barge20,42,"160, 90",90,27.82985,21.0,1,54.0,54.0,102.82985,,Venlo,3.0,18.0
116,Delta,Neuss,Delta to Venlo -> Venlo to Neuss,"Barge21, Train29",Barge,Train,Barge21,60,"160, 90",90,27.82985,21.0,1,36.0,36.0,84.82985,,Venlo,3.0,18.0
117,Delta,Neuss,Delta to Venlo -> Venlo to Neuss,"Barge22, Train29",Barge,Train,Barge22,66,"160, 90",90,27.82985,21.0,1,30.0,30.0,78.82985,,Venlo,3.0,18.0
118,Delta,Neuss,Delta to Venlo -> Venlo to Neuss,"Barge23, Train29",Barge,Train,Barge23,90,"160, 90",90,27.82985,21.0,1,6.0,6.0,54.82985,,Venlo,3.0,18.0
119,Delta,Neuss,Delta to Duisburg -> Duisburg to Neuss,"Barge26, Barge49",Barge,Barge,Barge26,82,"160, 160",160,17.236449999999998,6.0,1,19.0,19.0,42.23645,,Duisburg,3.0,3.0
120,Delta,Neuss,Delta to Neuss,Barge31,Barge,Barge,Barge31,80,160,160,15.8389,0.0,0,0.0,0.0,15.8389,,0,3.0,3.0
121,Delta,Neuss,Delta to Venlo -> Venlo to Neuss,"Train01, Train29",Train,Train,Train01,16,"90, 90",90,57.631750000000004,36.0,1,89.0,89.0,182.63175,,Venlo,18.0,18.0
122,Delta,Neuss,Delta to Venlo -> Venlo to Neuss,"Train02, Train29",Train,Train,Train02,40,"90, 90",90,57.631750000000004,36.0,1,65.0,65.0,158.63175,,Venlo,18.0,18.0
123,Delta,Neuss,Delta to Venlo -> Venlo to Neuss,"Train03, Train29",Train,Train,Train03,9,"90, 90",90,57.631750000000004,36.0,1,96.0,96.0,189.63175,,Venlo,18.0,18.0
124,Delta,Neuss,Delta to Venlo -> Venlo to Neuss,"Train04, Train29",Train,Train,Train04,33,"90, 90",90,57.631750000000004,36.0,1,72.0,72.0,165.63175,,Venlo,18.0,18.0
125,Delta,Neuss,Delta to Venlo -> Venlo to Neuss,"Train05, Train29",Train,Train,Train05,57,"90, 90",90,57.631750000000004,36.0,1,48.0,48.0,141.63175,,Venlo,18.0,18.0
126,Delta,Neuss,Delta to Venlo -> Venlo to Neuss,"Train06, Train29",Train,Train,Train06,81,"90, 90",90,57.631750000000004,36.0,1,24.0,24.0,117.63175000000001,,Venlo,18.0,18.0
127,Delta,Neuss,Delta to Duisburg -> Duisburg to Neuss,"Train09, Barge49",Train,Barge,Train09,41,"90, 160",90,65.20025,21.0,1,70.0,70.0,156.20024999999998,,Duisburg,18.0,3.0
128,Delta,Neuss,Delta to Duisburg -> Duisburg to Neuss,"Train10, Barge49",Train,Barge,Train10,75,"90, 160",90,65.20025,21.0,1,36.0,36.0,122.20025,,Duisburg,18.0,3.0
129,Delta,Neuss,Delta to Duisburg -> Duisburg to Neuss,"Train11, Barge49",Train,Barge,Train11,99,"90, 160",90,65.20025,21.0,1,12.0,12.0,98.20025,,Duisburg,18.0,3.0
130,Delta,Neuss,Delta to Neuss,Train13,Train,Train,Train13,110,90,90,52.3925,0.0,0,0.0,0.0,52.3925,,0,18.0,18.0
131,Delta,Dortmund,Delta to Euromax -> Euromax to Venlo -> Venlo to Dortmund,"Barge01, Barge36, Train30",Barge,Train,Barge01,53,"160, 160, 90",90,39.7059,27.0,2,39.5,39.5,106.2059,,"Euromax,Venlo",3.0,18.0
