,Demand_ID,Origin,Destination,Release Time,Due Time,Service_week,Volume,Announce Time,Solution_List
10,Request108,Delta,Nuremberg,197,275,1.0,15,144,"Train15; Barge01, Train23; Train16; Barge19, Truck31; Barge20, Truck31; Barge06, Barge48, Truck34; Barge07, Barge48, Truck34; Barge26, Truck34; Barge21, Truck31; Barge22, Truck31"
11,Request109,Delta,Duisburg,198,259,1.0,14,144,"Barge06, Barge48; Barge07, Barge48; Barge26; Barge27; Barge01, Barge37; Train09; Barge06, Train28; Barge07, Train28; Barge08, Train28; Barge02, Train26"
12,Request11,Delta,Duisburg,3,151,0.0,15,0,"Barge04, Barge48; Barge05, Barge48; Barge06, Barge48; Barge07, Barge48; Barge26; Barge27; Barge01, Barge37; Train09; Barge04, Train28; Barge05, Train28"
13,Request110,Delta,Dortmund,229,312,1.0,9,144,"Barge26, Train32; Barge22, Train30; Barge23, Train30; Barge08, Barge47, Train30; Barge09, Barge47, Train30; Barge26, Truck33; Train14; Barge08, Train27, Train30; Barge08, Train28, Truck33; Train06, Train30"
14,Request111,Delta,Dortmund,228,385,1.0,30,144,"Barge23, Train30; Barge22, Train30; Barge08, Barge47, Train30; Barge09, Barge47, Train30; Barge26, Truck33; Train14; Barge08, Train27, Train30; Barge08, Train28, Truck33; Train06, Train30; Train10, Truck33"
15,Request112,Euromax,Dortmund,239,366,1.0,10,144,"Barge36, Train30; Train22; Train17, Train30; Train18, Train30; Train19, Truck33; Train19, Train32; Train20, Train32; Train20, Truck33"
16,Request113,Delta,Dortmund,215,280,1.0,10,144,"Barge26, Train32; Barge07, Barge48, Truck33; Barge21, Train30; Barge22, Train30; Barge23, Train30; Barge07, Barge48, Train32; Barge07, Barge47, Train30; Barge08, Barge47, Train30; Barge09, Barge47, Train30; Barge01, Barge36, Train30"
17,Request114,HOME,Neuss,187,302,1.0,9,144,"Barge45, Truck32; Barge45, Barge49; Barge41, Barge48, Barge49; Barge41, Barge48, Truck32; Train25, Truck32; Barge41, Barge47, Train29; Barge41, Barge47, Truck29; Barge41, Train28, Barge49; Barge41, Train28, Truck32; Train25, Barge49"
18,Request115,Delta,Nuremberg,203,353,1.0,9,144,"Train15; Barge19, Train31; Barge20, Train31; Barge21, Train31; Barge22, Train31; Barge23, Train31; Barge24, Train31; Barge06, Barge47, Train31; Barge07, Barge47, Train31; Barge08, Barge47, Train31"
19,Request116,Delta,Neuss,208,277,1.0,16,144,"Barge31; Barge26, Barge49; Barge07, Barge48, Barge49; Barge07, Barge48, Truck32; Barge20, Truck29; Barge26, Truck32; Barge21, Truck29; Barge20, Train29; Barge21, Train29; Barge22, Train29"
20,Request117,Euromax,Venlo,186,336,1.0,22,144,"Barge35; Barge36; Barge33, Barge47; Barge33, Train27; Train17; Barge33, Truck25; Train18; Barge33, Truck25"
21,Request118,Delta,Nuremberg,172,269,1.0,15,144,"Train15; Barge01, Train23; Train16; Barge17, Truck31; Barge18, Truck31; Barge19, Truck31; Barge20, Truck31; Barge04, Barge48, Truck34; Barge05, Barge48, Truck34; Barge06, Barge48, Truck34"
22,Request119,Delta,Nuremberg,155,204,1.0,26,144,"Train15; Barge01, Train23; Train16; Barge17, Truck31; Barge18, Truck31; Barge19, Truck31; Train03, Truck31; Barge03, Barge48, Truck34; Barge04, Barge48, Truck34; Barge05, Barge48, Truck34"
23,Request12,Delta,Dortmund,0,88,0.0,9,0,"Barge17, Truck30; Barge18, Truck30; Barge19, Truck30; Barge20, Truck30; Barge26, Train32; Barge04, Barge48, Truck33; Barge06, Barge48, Truck33; Barge05, Barge48, Truck33; Barge07, Barge48, Truck33; Barge03, Barge48, Truck33"
24,Request120,Euromax,Dortmund,216,288,1.0,5,144,"Barge33, Barge48, Truck33; Barge36, Train30; Barge33, Barge48, Train32; Barge33, Barge47, Train30; Train22; Barge36, Truck30; Barge33, Barge47, Truck30; Barge33, Train27, Train30; Barge33, Train28, Truck33; Barge33, Train28, Train32"
25,Request121,HOME,Neuss,230,311,1.0,14,144,"Train26, Barge49; Train26, Truck32; Train24, Train29; Train24, Truck29"
26,Request122,Delta,Duisburg,192,318,1.0,13,144,"Barge05, Barge48; Barge06, Barge48; Barge07, Barge48; Barge26; Barge27; Barge01, Barge37; Train09; Barge05, Train28; Barge06, Train28; Barge07, Train28"
27,Request123,HOME,Neuss,201,361,1.0,8,144,"Barge45, Truck32; Barge45, Barge49; Barge41, Barge48, Barge49; Barge41, Barge48, Truck32; Barge41, Barge47, Train29; Barge41, Barge47, Truck29; Barge41, Train28, Barge49; Barge41, Train28, Truck32; Train26, Barge49; Train26, Truck32"
28,Request124,Delta,Nuremberg,190,342,1.0,6,144,"Train15; Barge19, Train31; Barge20, Train31; Barge22, Train31; Barge24, Train31; Barge23, Train31; Barge05, Barge48, Train33; Barge06, Barge48, Train33; Barge07, Barge48, Train33; Barge05, Barge47, Train31"
29,Request125,Euromax,Dortmund,214,376,1.0,9,144,"Barge33, Barge48, Truck33; Barge36, Train30; Barge33, Barge48, Train32; Barge33, Barge47, Train30; Train22; Barge33, Train27, Train30; Barge33, Train28, Truck33; Barge33, Train28, Train32; Train17, Train30; Train18, Train30"
30,Request126,Delta,Dortmund,197,359,1.0,23,144,"Barge23, Train30; Barge19, Train30; Barge20, Train30; Barge21, Train30; Barge22, Train30; Barge06, Barge47, Train30; Barge07, Barge47, Train30; Barge08, Barge47, Train30; Barge09, Barge47, Train30; Barge01, Barge36, Train30"
31,Request127,Delta,Duisburg,172,291,1.0,28,144,"Barge04, Barge48; Barge05, Barge48; Barge06, Barge48; Barge07, Barge48; Barge26; Barge27; Barge01, Barge37; Train09; Barge04, Train28; Barge05, Train28"
32,Request128,HOME,Nuremberg,208,299,1.0,17,144,"Barge45, Truck34; Barge41, Barge47, Truck31; Barge41, Train28, Truck34; Train26, Truck34; Barge41, Train27, Truck31; Train24, Truck31"
33,Request129,Euromax,Nuremberg,240,360,1.0,9,144,"Barge36, Train31; Train23; Train17, Train31; Train18, Train31; Barge36, Truck31; Train19, Truck34; Train17, Truck31; Train20, Truck34; Train18, Truck31"
34,Request13,Euromax,Neuss,70,162,0.0,6,0,"Barge36, Train29; Train21; Barge36, Truck29; Train19, Barge49; Train20, Barge49; Train19, Truck32; Train17, Train29; Train18, Train29; Train17, Truck29; Train20, Truck32"
35,Request130,Delta,Nuremberg,150,273,1.0,14,144,"Train15; Barge01, Train23; Train16; Barge17, Truck31; Barge18, Truck31; Barge19, Truck31; Barge03, Barge48, Truck34; Barge04, Barge48, Truck34; Barge05, Barge48, Truck34; Barge06, Barge48, Truck34"
36,Request131,Euromax,Dortmund,226,347,1.0,26,144,"Barge36, Train30; Train22; Train17, Train30; Train18, Train30"
37,Request132,Delta,Nuremberg,222,313,1.0,11,144,"Train16; Barge26, Truck34; Barge21, Truck31; Barge22, Truck31; Barge23, Truck31; Barge24, Truck31; Barge08, Barge47, Truck31; Barge09, Barge47, Truck31; Barge08, Train28, Truck34; Train05, Truck31"
38,Request133,Euromax,Nuremberg,356,487,2.0,19,312,"Barge35, Train31; Barge36, Train31; Barge33, Barge48, Train33; Barge33, Barge47, Train31; Train23; Barge33, Train27, Train31; Barge33, Train28, Train33; Train17, Train31; Train18, Train31; Train19, Train33"
39,Request134,HOME,Nuremberg,397,548,2.0,25,312,"Train24, Train31; Train26, Train33; Train26, Truck34; Train24, Truck31"
40,Request135,Delta,Nuremberg,326,415,2.0,8,312,"Train15; Barge03, Barge48, Train33; Barge04, Barge48, Train33; Barge05, Barge48, Train33; Barge06, Barge48, Train33; Barge03, Barge47, Train31; Barge04, Barge47, Train31; Barge05, Barge47, Train31; Barge06, Barge47, Train31; Barge01, Barge36, Train31"
41,Request136,Delta,Neuss,386,440,2.0,8,312,"Barge01, Barge39; Barge31; Barge26, Barge49; Barge07, Barge48, Barge49; Barge07, Barge48, Truck32; Barge26, Truck32; Barge21, Truck29; Barge21, Train29; Barge22, Train29; Barge23, Train29"
42,Request137,Delta,Neuss,338,408,2.0,27,312,"Barge01, Barge39; Barge31; Barge17, Truck29; Barge18, Truck29; Barge26, Barge49; Barge03, Barge48, Barge49; Barge04, Barge48, Barge49; Barge05, Barge48, Barge49; Barge06, Barge48, Barge49; Barge07, Barge48, Barge49"
43,Request138,HOME,Nuremberg,338,401,2.0,26,312,"Barge45, Train33; Barge40, Barge48, Train33; Barge41, Barge48, Train33; Barge40, Barge47, Train31; Barge41, Barge47, Train31; Barge40, Train27, Train31; Barge41, Train27, Train31; Train24, Train31; Barge40, Train28, Train33; Barge41, Train28, Train33"
44,Request139,Euromax,Willebroek,404,551,2.0,9,312,Barge38
45,Request14,Euromax,Duisburg,73,191,0.0,27,0,Barge37; Train19; Train20
46,Request140,Delta,Neuss,361,519,2.0,10,312,"Barge01, Barge39; Barge31; Barge26, Barge49; Barge05, Barge48, Barge49; Barge06, Barge48, Barge49; Barge07, Barge48, Barge49; Barge19, Truck29; Barge06, Barge48, Truck32; Barge05, Barge48, Truck32; Barge07, Barge48, Truck32"
47,Request141,Delta,Dortmund,331,479,2.0,17,312,"Barge17, Truck30; Barge18, Truck30; Barge19, Truck30; Barge20, Truck30; Barge26, Train32; Barge04, Barge48, Truck33; Barge06, Barge48, Truck33; Barge05, Barge48, Truck33; Barge07, Barge48, Truck33; Barge03, Barge48, Truck33"
48,Request142,Delta,Neuss,324,492,2.0,15,312,"Barge01, Barge39; Barge31; Barge17, Truck29; Barge18, Truck29; Barge26, Barge49; Barge03, Barge48, Barge49; Barge04, Barge48, Barge49; Barge05, Barge48, Barge49; Barge06, Barge48, Barge49; Barge07, Barge48, Barge49"
49,Request143,HOME,Nuremberg,333,486,2.0,26,312,"Barge45, Train33; Barge40, Barge48, Train33; Barge41, Barge48, Train33; Barge40, Barge47, Train31; Barge41, Barge47, Train31; Barge40, Train27, Train31; Barge41, Train27, Train31; Train24, Train31; Barge40, Train28, Train33; Barge41, Train28, Train33"
50,Request144,Delta,Neuss,378,477,2.0,24,312,"Barge01, Barge39; Barge31; Barge26, Barge49; Barge07, Barge48, Barge49; Barge07, Barge48, Truck32; Barge26, Truck32; Barge21, Truck29; Barge21, Train29; Barge22, Train29; Barge23, Train29"
51,Request145,Delta,Neuss,400,546,2.0,5,312,"Barge31; Barge26, Barge49; Barge26, Truck32; Barge22, Train29; Barge23, Train29; Barge22, Truck29; Barge09, Barge47, Train29; Barge23, Truck29; Barge09, Barge47, Truck29; Train13"
52,Request146,Delta,Neuss,388,509,2.0,27,312,"Barge01, Barge39; Barge31; Barge26, Barge49; Barge26, Truck32; Barge21, Truck29; Barge21, Train29; Barge22, Train29; Barge23, Train29; Barge22, Truck29; Barge08, Barge47, Train29"
53,Request147,Delta,Duisburg,324,399,2.0,29,312,"Barge03, Barge48; Barge04, Barge48; Barge05, Barge48; Barge06, Barge48; Barge07, Barge48; Barge26; Barge27; Barge01, Barge37; Train09; Barge03, Train28"
54,Request148,Delta,Neuss,342,465,2.0,14,312,"Barge01, Barge39; Barge31; Barge17, Truck29; Barge18, Truck29; Barge26, Barge49; Barge04, Barge48, Barge49; Barge05, Barge48, Barge49; Barge06, Barge48, Barge49; Barge07, Barge48, Barge49; Barge19, Truck29"
55,Request149,Delta,Dortmund,354,504,2.0,13,312,"Barge19, Truck30; Barge05, Barge48, Train32; Barge06, Barge48, Train32; Barge07, Barge48, Train32; Barge05, Barge47, Train30; Barge06, Barge47, Train30; Barge07, Barge47, Train30; Barge08, Barge47, Train30; Barge09, Barge47, Train30; Barge01, Barge36, Train30"
56,Request15,Delta,Venlo,2,153,0.0,15,0,"Barge17; Barge18; Barge19; Barge20; Barge21; Barge22; Train03; Train01; Barge01, Barge36; Barge23"
57,Request150,Delta,Dortmund,361,506,2.0,6,312,"Barge19, Truck30; Barge05, Barge48, Train32; Barge06, Barge48, Train32; Barge07, Barge48, Train32; Barge05, Barge47, Train30; Barge06, Barge47, Train30; Barge07, Barge47, Train30; Barge08, Barge47, Train30; Barge09, Barge47, Train30; Barge01, Barge36, Train30"
58,Request151,HOME,Duisburg,323,484,2.0,11,312,"Barge45; Barge40, Barge48; Barge41, Barge48; Train25; Barge40, Train28; Barge41, Train28; Barge40, Truck26; Train26; Barge40, Truck26; Barge41, Truck26"
59,Request152,Delta,Venlo,327,392,2.0,28,312,"Barge17; Barge18; Barge19; Barge20; Barge21; Barge22; Train03; Train01; Barge01, Barge36; Barge23"
60,Request153,Delta,Duisburg,385,513,2.0,7,312,"Barge07, Barge48; Barge26; Barge27; Barge01, Barge37; Barge07, Train28; Barge08, Train28; Barge02, Train26; Train10; Barge01, Train19; Train11"
61,Request154,Delta,Dortmund,360,489,2.0,12,312,"Barge19, Truck30; Barge05, Barge48, Train32; Barge06, Barge48, Train32; Barge07, Barge48, Train32; Barge05, Barge47, Train30; Barge06, Barge47, Train30; Barge07, Barge47, Train30; Barge08, Barge47, Train30; Barge09, Barge47, Train30; Barge01, Barge36, Train30"
62,Request155,Delta,Venlo,387,458,2.0,29,312,"Barge21; Barge22; Barge01, Barge36; Barge23; Barge08, Barge47; Barge09, Barge47; Barge24; Barge02, Barge43; Train05; Barge25"
63,Request156,Delta,Nuremberg,401,468,2.0,14,312,"Barge26, Train33; Barge22, Train31; Barge23, Train31; Barge24, Train31; Barge09, Barge47, Train31; Train16; Train06, Train31; Train07, Train31; Train10, Train33; Train11, Train33"
64,Request157,Delta,Neuss,358,504,2.0,5,312,"Barge01, Barge39; Barge31; Barge26, Barge49; Barge05, Barge48, Barge49; Barge06, Barge48, Barge49; Barge07, Barge48, Barge49; Barge19, Truck29; Barge05, Barge48, Truck32; Barge06, Barge48, Truck32; Barge07, Barge48, Truck32"
65,Request158,Delta,Neuss,360,488,2.0,13,312,"Barge01, Barge39; Barge31; Barge26, Barge49; Barge05, Barge48, Barge49; Barge06, Barge48, Barge49; Barge07, Barge48, Barge49; Barge19, Truck29; Barge05, Barge48, Truck32; Barge06, Barge48, Truck32; Barge07, Barge48, Truck32"
66,Request159,Delta,Duisburg,392,478,2.0,24,312,"Barge26; Barge27; Barge08, Train28; Train10; Train11; Train12; Barge08, Truck26"
67,Request16,HOME,Duisburg,94,168,0.0,22,0,0
68,Request160,Delta,Venlo,346,441,2.0,25,312,"Barge17; Barge18; Barge19; Barge20; Barge21; Barge22; Train01; Barge23; Train04; Barge04, Barge47"
69,Request161,Euromax,Neuss,335,395,2.0,19,312,"Barge35, Truck29; Barge32, Barge48, Barge49; Barge33, Barge48, Barge49; Barge35, Train29; Barge36, Train29; Barge32, Barge48, Truck32; Barge33, Barge48, Truck32; Barge32, Barge47, Train29; Barge33, Barge47, Train29; Train21"
70,Request162,Delta,Venlo,387,466,2.0,27,312,"Barge21; Barge22; Barge23; Barge08, Barge47; Barge09, Barge47; Barge24; Barge02, Barge43; Train05; Barge25; Barge02, Barge44"
71,Request163,HOME,Duisburg,381,518,2.0,25,312,"Barge45; Barge41, Barge48; Barge41, Train28; Train26; Barge41, Truck26; Barge41, Truck26"
72,Request164,Delta,Neuss,354,422,2.0,5,312,"Barge01, Barge39; Barge31; Barge26, Barge49; Barge05, Barge48, Barge49; Barge06, Barge48, Barge49; Barge07, Barge48, Barge49; Barge19, Truck29; Barge05, Barge48, Truck32; Barge06, Barge48, Truck32; Barge07, Barge48, Truck32"
73,Request165,HOME,Neuss,359,519,2.0,7,312,"Barge45, Truck32; Barge45, Barge49; Barge41, Barge48, Barge49; Barge41, Barge48, Truck32; Train25, Truck32; Barge41, Barge47, Train29; Barge41, Barge47, Truck29; Barge41, Train28, Barge49; Barge41, Train28, Truck32; Train25, Barge49"
74,Request166,Euromax,Duisburg,343,471,2.0,14,312,"Barge33, Barge48; Barge37; Barge33, Train28; Train19; Train20; Barge33, Truck26; Barge33, Truck26"
75,Request167,Delta,Dortmund,354,499,2.0,21,312,"Barge19, Truck30; Barge19, Train30; Barge05, Barge48, Train32; Barge06, Barge48, Train32; Barge07, Barge48, Train32; Barge05, Barge47, Train30; Barge06, Barge47, Train30; Barge07, Barge47, Train30; Barge08, Barge47, Train30; Barge09, Barge47, Train30"
76,Request168,Delta,Venlo,316,443,2.0,30,312,Barge17; Barge18; Barge19; Barge20; Barge21; Barge22; Train03; Train01; Barge23; Train04
77,Request169,Delta,Dortmund,345,422,2.0,28,312,"Barge26, Train32; Barge04, Barge48, Train32; Barge05, Barge48, Train32; Barge06, Barge48, Train32; Barge07, Barge48, Train32; Barge04, Barge47, Train30; Barge05, Barge47, Train30; Barge06, Barge47, Train30; Barge07, Barge47, Train30; Barge08, Barge47, Train30"
78,Request17,Delta,Dortmund,96,217,0.0,11,0,"Train11, Train32; Train11, Truck33"
79,Request170,HOME,Duisburg,328,442,2.0,17,312,"Barge45; Barge40, Barge48; Barge41, Barge48; Train25; Barge40, Train28; Barge41, Train28; Barge40, Truck26; Train26; Barge40, Truck26; Barge41, Truck26"
80,Request171,Delta,Nuremberg,403,533,2.0,25,312,"Barge23, Train31; Barge24, Train31; Barge09, Barge47, Train31; Train16; Train06, Train31; Train07, Train31; Barge09, Truck25, Train31; Barge26, Truck34; Barge23, Truck31; Barge24, Truck31"
81,Request172,Delta,Dortmund,331,422,2.0,24,312,"Barge26, Train32; Barge03, Barge48, Train32; Barge04, Barge48, Train32; Barge05, Barge48, Train32; Barge06, Barge48, Train32; Barge03, Barge47, Train30; Barge04, Barge47, Train30; Barge05, Barge47, Train30; Barge06, Barge47, Train30; Barge07, Barge47, Train30"
82,Request173,Delta,Neuss,356,472,2.0,22,312,"Barge31; Barge26, Barge49; Barge05, Barge48, Barge49; Barge06, Barge48, Barge49; Barge07, Barge48, Barge49; Barge19, Truck29; Barge05, Barge48, Truck32; Barge07, Barge48, Truck32; Barge06, Barge48, Truck32; Barge20, Truck29"
83,Request174,Delta,Venlo,395,474,2.0,12,312,"Barge21; Barge22; Barge23; Barge08, Barge47; Barge09, Barge47; Barge24; Barge25; Barge08, Train27; Train06; Train07"
84,Request175,Euromax,Nuremberg,385,506,2.0,8,312,"Barge36, Train31; Barge33, Barge48, Train33; Barge33, Barge47, Train31; Train23; Barge33, Train27, Train31; Barge33, Train28, Train33; Train17, Train31; Train18, Train31; Train19, Train33; Train20, Train33"
85,Request176,HOME,Neuss,361,471,2.0,7,312,"Barge45, Truck32; Barge45, Barge49; Barge41, Barge48, Barge49; Barge41, Barge48, Truck32; Train25, Truck32; Barge41, Barge47, Train29; Barge41, Barge47, Truck29; Barge41, Train28, Barge49; Barge41, Train28, Truck32; Train25, Barge49"
86,Request177,Delta,Venlo,351,506,2.0,27,312,"Barge18; Barge19; Barge20; Barge21; Barge22; Train01; Barge23; Train04; Barge05, Barge47; Barge06, Barge47"
87,Request178,Delta,Neuss,355,503,2.0,25,312,"Barge31; Barge26, Barge49; Barge05, Barge48, Barge49; Barge06, Barge48, Barge49; Barge07, Barge48, Barge49; Barge19, Truck29; Barge05, Barge48, Truck32; Barge07, Barge48, Truck32; Barge06, Barge48, Truck32; Barge20, Truck29"
88,Request179,Delta,Neuss,328,390,2.0,25,312,"Barge31; Barge17, Truck29; Barge18, Truck29; Barge26, Barge49; Barge03, Barge48, Barge49; Barge04, Barge48, Barge49; Barge05, Barge48, Barge49; Barge06, Barge48, Barge49; Barge07, Barge48, Barge49; Barge19, Truck29"
89,Request18,Delta,Venlo,75,179,0.0,21,0,Barge23; Barge24; Barge25; Train06; Train07; Train08
90,Request180,HOME,Dortmund,348,485,2.0,10,312,"Barge45, Truck33; Barge45, Train32; Barge41, Barge48, Truck33; Barge41, Barge48, Train32; Barge41, Barge47, Train30; Train25, Truck33; Barge41, Barge47, Truck30; Barge41, Train27, Train30; Train24, Train30; Barge41, Train28, Truck33"
91,Request181,HOME,Dortmund,323,457,2.0,17,312,"Barge45, Truck33; Barge45, Train32; Barge40, Barge48, Truck33; Barge41, Barge48, Truck33; Barge40, Barge48, Train32; Barge41, Barge48, Train32; Barge40, Barge47, Train30; Barge41, Barge47, Train30; Train25, Truck33; Barge40, Barge47, Truck30"
92,Request182,Delta,Dortmund,356,411,2.0,16,312,"Barge19, Truck30; Barge19, Train30; Barge05, Barge48, Train32; Barge06, Barge48, Train32; Barge07, Barge48, Train32; Barge05, Barge47, Train30; Barge06, Barge47, Train30; Barge07, Barge47, Train30; Barge08, Barge47, Train30; Barge09, Barge47, Train30"
93,Request183,Delta,Neuss,323,487,2.0,16,312,"Barge31; Barge17, Truck29; Barge18, Truck29; Barge26, Barge49; Barge03, Barge48, Barge49; Barge04, Barge48, Barge49; Barge05, Barge48, Barge49; Barge06, Barge48, Barge49; Barge07, Barge48, Barge49; Barge19, Truck29"
94,Request184,HOME,Dortmund,360,517,2.0,12,312,"Barge45, Truck33; Barge45, Train32; Barge41, Barge48, Truck33; Barge41, Barge48, Train32; Barge41, Barge47, Train30; Train25, Truck33; Barge41, Train27, Train30; Train24, Train30; Barge41, Train28, Truck33; Barge41, Train28, Train32"
95,Request185,Delta,Venlo,372,457,2.0,20,312,"Barge20; Barge21; Barge22; Barge23; Barge06, Barge47; Barge07, Barge47; Barge08, Barge47; Barge09, Barge47; Barge24; Barge02, Barge43"
96,Request186,Euromax,Nuremberg,389,466,2.0,20,312,"Train23; Train19, Train33; Train20, Train33; Barge36, Truck31; Train19, Truck34; Train17, Truck31; Train20, Truck34; Train18, Truck31"
97,Request187,Delta,Neuss,377,430,2.0,23,312,"Barge31; Barge26, Barge49; Barge07, Barge48, Barge49; Barge07, Barge48, Truck32; Barge20, Truck29; Barge26, Truck32; Barge20, Train29; Barge21, Train29; Barge22, Train29; Barge23, Train29"
98,Request188,HOME,Willebroek,349,416,2.0,11,312,Barge46
99,Request189,Delta,Neuss,366,443,2.0,24,312,"Barge31; Barge26, Barge49; Barge06, Barge48, Barge49; Barge07, Barge48, Barge49; Barge19, Truck29; Barge06, Barge48, Truck32; Barge07, Barge48, Truck32; Barge20, Truck29; Barge26, Truck32; Barge21, Truck29"
100,Request19,HOME,Nuremberg,39,199,0.0,7,0,"Barge45, Train33; Barge41, Barge48, Train33; Barge41, Barge47, Train31; Barge41, Train27, Train31; Train24, Train31; Barge41, Train28, Train33; Train26, Train33; Barge41, Truck25, Train31; Barge41, Truck26, Train33; Barge41, Truck25, Train31"
101,Request190,Delta,Duisburg,321,401,2.0,10,312,"Barge03, Barge48; Barge04, Barge48; Barge07, Barge48; Barge05, Barge48; Barge06, Barge48; Barge26; Barge27; Barge01, Barge37; Train09; Barge03, Train28"
102,Request191,Delta,Duisburg,391,502,2.0,11,312,"Barge26; Barge27; Barge08, Train28; Train10; Train11; Train12; Barge08, Truck26"
103,Request192,Delta,Neuss,348,516,2.0,27,312,"Barge18, Truck29; Barge04, Barge48, Barge49; Barge05, Barge48, Barge49; Barge06, Barge48, Barge49; Barge07, Barge48, Barge49; Barge19, Truck29; Barge04, Barge48, Truck32; Barge06, Barge48, Truck32; Barge05, Barge48, Truck32; Barge07, Barge48, Truck32"
104,Request193,Euromax,Dortmund,366,433,2.0,7,312,"Barge33, Barge48, Truck33; Barge36, Train30; Barge33, Barge48, Train32; Barge33, Barge47, Train30; Train22; Barge33, Train27, Train30; Barge33, Train28, Truck33; Barge33, Train28, Train32; Train17, Train30; Train18, Train30"
105,Request194,Euromax,Nuremberg,352,458,2.0,17,312,"Barge33, Barge48, Train33; Train23; Barge33, Train28, Train33; Train19, Train33; Train20, Train33; Barge33, Truck26, Train33; Barge35, Truck31; Barge33, Truck26, Train33; Barge33, Barge48, Truck34; Barge36, Truck31"
106,Request195,Delta,Dortmund,316,383,2.0,16,312,"Barge26, Train32; Barge03, Barge48, Train32; Barge04, Barge48, Train32; Barge05, Barge48, Train32; Barge06, Barge48, Train32; Barge03, Barge47, Train30; Barge04, Barge47, Train30; Barge05, Barge47, Train30; Barge06, Barge47, Train30; Barge07, Barge47, Train30"
107,Request196,Delta,Nuremberg,326,428,2.0,30,312,"Train15; Train16; Barge17, Truck31; Barge18, Truck31; Barge19, Truck31; Barge03, Barge48, Truck34; Barge04, Barge48, Truck34; Barge05, Barge48, Truck34; Barge06, Barge48, Truck34; Barge07, Barge48, Truck34"
108,Request197,Delta,Dortmund,329,461,2.0,9,312,"Barge26, Train32; Barge03, Barge48, Train32; Barge04, Barge48, Train32; Barge05, Barge48, Train32; Barge06, Barge48, Train32; Barge03, Barge47, Train30; Barge04, Barge47, Train30; Barge05, Barge47, Train30; Barge06, Barge47, Train30; Barge01, Barge36, Train30"
109,Request198,HOME,Duisburg,335,384,2.0,30,312,"Barge40, Barge48; Barge41, Barge48; Train25; Barge40, Train28; Barge41, Train28; Barge40, Truck26; Train26; Barge40, Truck26; Barge41, Truck26; Barge41, Truck26"
110,Request199,Euromax,Nuremberg,490,594,3.0,5,480,"Barge35, Train31; Barge36, Train31; Barge32, Barge48, Train33; Barge33, Barge48, Train33; Barge32, Barge47, Train31; Barge33, Barge47, Train31; Train23; Barge32, Train27, Train31; Barge33, Train27, Train31; Barge32, Train28, Train33"
111,Request2,Delta,Dortmund,0,112,0.0,29,0,"Barge17, Truck30; Barge18, Truck30; Barge19, Truck30; Barge20, Truck30; Barge26, Train32; Barge04, Barge48, Truck33; Barge06, Barge48, Truck33; Barge05, Barge48, Truck33; Barge07, Barge48, Truck33; Barge03, Barge48, Truck33"
